run_name,model,split_type,cell_line,cell_lines,environment,random_seed,sequence_kernel,input_shape_train,input_shape_valid,input_shape_test,R2
all_cnn_sequence_ctcf_rrbs_heldout_hek293t_kernel_5,cnn(5|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,5,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.7508997286276393
all_cnn_sequence_ctcf_rrbs_heldout_hela_kernel_5,cnn(5|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,5,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1306263385653737
all_cnn_sequence_ctcf_rrbs_heldout_hl60_kernel_5,cnn(5|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,5,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",0.0280415817501268
all_cnn_sequence_ctcf_rrbs_heldout_hct116_kernel_7,cnn(7|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,7,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1897394489976209
all_cnn_sequence_ctcf_rrbs_heldout_hek293t_kernel_7,cnn(7|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,7,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.926719367614546
all_cnn_sequence_ctcf_rrbs_heldout_hela_kernel_7,cnn(7|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,7,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1448254977695668
all_cnn_sequence_ctcf_rrbs_heldout_hl60_kernel_7,cnn(7|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,7,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.3917770748165663
all_transformer_sequence_ctcf_rrbs_heldout_hct116,transformer,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1397834250962895
all_transformer_sequence_ctcf_rrbs_heldout_hek293t,transformer,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.5664604649476441
all_transformer_sequence_ctcf_rrbs_heldout_hela,transformer,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0896235740986277
all_transformer_sequence_ctcf_rrbs_heldout_hl60,transformer,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_rrbs,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.0645994350331466
all_linear_sequence_dnase_h3k4me3_heldout_hct116,linear,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",-1.4193073962728827e+18
all_linear_sequence_dnase_h3k4me3_heldout_hek293t,linear,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.4555973295280204
all_linear_sequence_dnase_h3k4me3_heldout_hela,linear,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.0870042405110045
all_linear_sequence_dnase_h3k4me3_heldout_hl60,linear,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",0.027766735718989
all_xgboost_sequence_dnase_h3k4me3_heldout_hct116,xgboost,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.2315717568165713
all_xgboost_sequence_dnase_h3k4me3_heldout_hek293t,xgboost,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.5216490311925037
all_xgboost_sequence_dnase_h3k4me3_heldout_hela,xgboost,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.1482746984093748
all_xgboost_sequence_dnase_h3k4me3_heldout_hl60,xgboost,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.0459415756901395
all_mlp_sequence_dnase_h3k4me3_heldout_hct116,mlp,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.1178701910055831
all_mlp_sequence_dnase_h3k4me3_heldout_hek293t,mlp,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.6115995773953513
all_mlp_sequence_dnase_h3k4me3_heldout_hela,mlp,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.1003075190702135
all_mlp_sequence_dnase_h3k4me3_heldout_hl60,mlp,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.1742482893320134
all_cnn_sequence_dnase_h3k4me3_heldout_hct116_kernel_3,cnn(3|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.095673119461391
all_cnn_sequence_dnase_h3k4me3_heldout_hek293t_kernel_3,cnn(3|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.2956850366881818
all_cnn_sequence_dnase_h3k4me3_heldout_hela_kernel_3,cnn(3|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0518507740838327
all_cnn_sequence_dnase_h3k4me3_heldout_hl60_kernel_3,cnn(3|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.0714459043077446
all_cnn_sequence_dnase_h3k4me3_heldout_hct116_kernel_5,cnn(5|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,5,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1488288399114516
all_cnn_sequence_dnase_h3k4me3_heldout_hek293t_kernel_5,cnn(5|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,5,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.7678131497834919
all_cnn_sequence_dnase_h3k4me3_heldout_hela_kernel_5,cnn(5|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,5,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1360480096596819
all_cnn_sequence_dnase_h3k4me3_heldout_hl60_kernel_5,cnn(5|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,5,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.5091127449868231
all_cnn_sequence_dnase_h3k4me3_heldout_hct116_kernel_7,cnn(7|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,7,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1205268231998937
all_cnn_sequence_dnase_h3k4me3_heldout_hek293t_kernel_7,cnn(7|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,7,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.9880216068638978
all_cnn_sequence_dnase_h3k4me3_heldout_hela_kernel_7,cnn(7|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,7,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1330092171594827
all_cnn_sequence_dnase_h3k4me3_heldout_hl60_kernel_7,cnn(7|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,7,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.8364385603115736
all_transformer_sequence_dnase_h3k4me3_heldout_hct116,transformer,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1477765933867731
all_transformer_sequence_dnase_h3k4me3_heldout_hek293t,transformer,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.5233936170736528
all_transformer_sequence_dnase_h3k4me3_heldout_hela,transformer,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0806298975704432
all_transformer_sequence_dnase_h3k4me3_heldout_hl60,transformer,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_h3k4me3,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.0756269239757461
all_linear_sequence_dnase_rrbs_heldout_hct116,linear,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",-1.334776517951919e+20
all_linear_sequence_dnase_rrbs_heldout_hek293t,linear,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.4474964942283568
all_linear_sequence_dnase_rrbs_heldout_hela,linear,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.0870889586328312
all_linear_sequence_dnase_rrbs_heldout_hl60,linear,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",0.0142321281522964
all_xgboost_sequence_dnase_rrbs_heldout_hct116,xgboost,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.2238084377642442
all_xgboost_sequence_dnase_rrbs_heldout_hek293t,xgboost,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.4887165369736002
all_xgboost_sequence_dnase_rrbs_heldout_hela,xgboost,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.1620545574369926
all_xgboost_sequence_dnase_rrbs_heldout_hl60,xgboost,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.062718564751347
all_mlp_sequence_dnase_rrbs_heldout_hct116,mlp,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.138052794880128
all_mlp_sequence_dnase_rrbs_heldout_hek293t,mlp,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.8515407892214835
all_mlp_sequence_dnase_rrbs_heldout_hela,mlp,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.0887679174944109
all_mlp_sequence_dnase_rrbs_heldout_hl60,mlp,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.527233834099907
all_cnn_sequence_dnase_rrbs_heldout_hct116_kernel_3,cnn(3|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.0896863518796554
all_cnn_sequence_dnase_rrbs_heldout_hek293t_kernel_3,cnn(3|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.3339539497221522
all_cnn_sequence_dnase_rrbs_heldout_hela_kernel_3,cnn(3|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0687325032803267
all_cnn_sequence_dnase_rrbs_heldout_hl60_kernel_3,cnn(3|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.1317407236628809
all_cnn_sequence_dnase_rrbs_heldout_hct116_kernel_5,cnn(5|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,5,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.155256605253801
all_cnn_sequence_dnase_rrbs_heldout_hek293t_kernel_5,cnn(5|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,5,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.7523003035000431
all_cnn_sequence_dnase_rrbs_heldout_hela_kernel_5,cnn(5|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,5,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1370408687028962
all_cnn_sequence_dnase_rrbs_heldout_hl60_kernel_5,cnn(5|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,5,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.4144363779007951
all_cnn_sequence_dnase_rrbs_heldout_hct116_kernel_7,cnn(7|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,7,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1329856500774909
all_cnn_sequence_dnase_rrbs_heldout_hek293t_kernel_7,cnn(7|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,7,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.7954767390855075
all_cnn_sequence_dnase_rrbs_heldout_hela_kernel_7,cnn(7|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,7,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1323890919145171
all_cnn_sequence_dnase_rrbs_heldout_hl60_kernel_7,cnn(7|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,7,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.7094893516644565
all_transformer_sequence_dnase_rrbs_heldout_hct116,transformer,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1454710108306866
all_transformer_sequence_dnase_rrbs_heldout_hek293t,transformer,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.5829546035403743
all_transformer_sequence_dnase_rrbs_heldout_hela,transformer,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0971453855773304
all_transformer_sequence_dnase_rrbs_heldout_hl60,transformer,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_dnase_rrbs,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.2212329425744215
all_linear_sequence_h3k4me3_rrbs_heldout_hct116,linear,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.1141163431810392
all_linear_sequence_h3k4me3_rrbs_heldout_hek293t,linear,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.4602350679099463
all_linear_sequence_h3k4me3_rrbs_heldout_hela,linear,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.0877797882888404
all_linear_sequence_h3k4me3_rrbs_heldout_hl60,linear,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",0.0187809574910848
all_xgboost_sequence_h3k4me3_rrbs_heldout_hct116,xgboost,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.2409211778397428
all_xgboost_sequence_h3k4me3_rrbs_heldout_hek293t,xgboost,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.5091435611710344
all_xgboost_sequence_h3k4me3_rrbs_heldout_hela,xgboost,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.1545921139637385
all_xgboost_sequence_h3k4me3_rrbs_heldout_hl60,xgboost,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.0569767260529749
all_mlp_sequence_h3k4me3_rrbs_heldout_hct116,mlp,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.1187465619421577
all_mlp_sequence_h3k4me3_rrbs_heldout_hek293t,mlp,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.5418789542517628
all_mlp_sequence_h3k4me3_rrbs_heldout_hela,mlp,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.1099511606167041
all_mlp_sequence_h3k4me3_rrbs_heldout_hl60,mlp,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.4896326660650949
all_cnn_sequence_h3k4me3_rrbs_heldout_hct116_kernel_3,cnn(3|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.0963561569121304
all_cnn_sequence_h3k4me3_rrbs_heldout_hek293t_kernel_3,cnn(3|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.2876370109831174
all_cnn_sequence_h3k4me3_rrbs_heldout_hela_kernel_3,cnn(3|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0655110385956356
all_cnn_sequence_h3k4me3_rrbs_heldout_hl60_kernel_3,cnn(3|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.0464370366033348
all_cnn_sequence_h3k4me3_rrbs_heldout_hct116_kernel_5,cnn(5|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,5,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1528130918186871
all_cnn_sequence_h3k4me3_rrbs_heldout_hek293t_kernel_5,cnn(5|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,5,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.7472516366991366
all_cnn_sequence_h3k4me3_rrbs_heldout_hela_kernel_5,cnn(5|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,5,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0891362534586056
all_cnn_sequence_h3k4me3_rrbs_heldout_hl60_kernel_5,cnn(5|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,5,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",0.0124678989084041
all_cnn_sequence_h3k4me3_rrbs_heldout_hct116_kernel_7,cnn(7|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,7,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1477645666028961
all_cnn_sequence_h3k4me3_rrbs_heldout_hek293t_kernel_7,cnn(7|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,7,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-1.0271429889771082
all_cnn_sequence_h3k4me3_rrbs_heldout_hela_kernel_7,cnn(7|3),all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,7,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.1483474518956584
all_cnn_sequence_h3k4me3_rrbs_heldout_hl60_kernel_7,cnn(7|3),all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,7,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.6325774704334362
all_transformer_sequence_h3k4me3_rrbs_heldout_hct116,transformer,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.1377346443088897
all_transformer_sequence_h3k4me3_rrbs_heldout_hek293t,transformer,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.4923188551013193
all_transformer_sequence_h3k4me3_rrbs_heldout_hela,transformer,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[7350, 23, 8]","[1298, 23, 8]","[8101, 23, 8]",0.0921215675275188
all_transformer_sequence_h3k4me3_rrbs_heldout_hl60,transformer,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_h3k4me3_rrbs,42,3,"[12472, 23, 8]","[2201, 23, 8]","[2076, 23, 8]",-0.178163321035536
all_linear_sequence_ctcf_dnase_h3k4me3_heldout_hct116,linear,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",-4.482634489123643e+19
all_linear_sequence_ctcf_dnase_h3k4me3_heldout_hek293t,linear,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.4418332676696195
all_linear_sequence_ctcf_dnase_h3k4me3_heldout_hela,linear,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.0884489336632097
all_linear_sequence_ctcf_dnase_h3k4me3_heldout_hl60,linear,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",0.0366755203046098
all_xgboost_sequence_ctcf_dnase_h3k4me3_heldout_hct116,xgboost,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.2607140587756394
all_xgboost_sequence_ctcf_dnase_h3k4me3_heldout_hek293t,xgboost,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.4892861145297835
all_xgboost_sequence_ctcf_dnase_h3k4me3_heldout_hela,xgboost,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.1554162801830202
all_xgboost_sequence_ctcf_dnase_h3k4me3_heldout_hl60,xgboost,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.0493487328812412
all_mlp_sequence_ctcf_dnase_h3k4me3_heldout_hct116,mlp,all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[10633, 184]","[1877, 184]","[4239, 184]",0.1059295046240497
all_mlp_sequence_ctcf_dnase_h3k4me3_heldout_hek293t,mlp,all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12253, 184]","[2163, 184]","[2333, 184]",-0.5370276523713362
all_mlp_sequence_ctcf_dnase_h3k4me3_heldout_hela,mlp,all,hela,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[7350, 184]","[1298, 184]","[8101, 184]",0.0937181328085129
all_mlp_sequence_ctcf_dnase_h3k4me3_heldout_hl60,mlp,all,hl60,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12472, 184]","[2201, 184]","[2076, 184]",-0.3104910264556226
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hct116_kernel_3,cnn(3|3),all,hct116,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[10633, 23, 8]","[1877, 23, 8]","[4239, 23, 8]",0.0953419607481396
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hek293t_kernel_3,cnn(3|3),all,hek293t,"['hct116', 'hek293t', 'hela', 'hl60']",sequence_ctcf_dnase_h3k4me3,42,3,"[12253, 23, 8]","[2163, 23, 8]","[2333, 23, 8]",-0.2481802108865809
